Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
WP CAREY INC,0.011100769866741514,Reduce 42.12%,326351.0,71.50000153209275,23334097.0,,,,,
HARTFORD INSURANCE GROUP INC,0.011059109565166508,Add 318.23%,175419.0,132.52000068407642,23246526.0,,,,,
ACUSHNET HLDGS CORP,0.010951432449928739,Add 28.38%,194214.0,118.53000298639645,23020186.0,,,,,
PATTERN GROUP INC,0.010940106705109151,Buy 100%,912917.0,25.189999748060337,22996379.0,,,,,
SCIENCE APPLICATIONS INTL CO,0.010840010374669976,Add 692.41%,206376.0,110.40999922471605,22785974.0,,,,,
OMNICOM GROUP INC,0.01082330267701534,Add 11.55%,312383.0,72.83000035213183,22750854.0,,,,,
USA RARE EARTH INC,0.010735398398839635,Add 70.81%,1045694.0,21.5800004590253,22566077.0,,,,,
PATHWARD FINANCIAL INC,0.01060388046468773,Add 93.36%,256026.0,87.05999781272214,22289623.0,,,,,
MOLSON COORS BEVERAGE CO,0.01058077560272894,Reduce 55.21%,570869.0,38.95999957958831,22241056.0,,,,,
SCHWAB STRATEGIC TR,0.010496134844083724,Reduce 11.86%,803250.0,27.46733769063181,22063139.0,,,,,
REPLIMUNE GROUP INC,0.010479846741797293,Reduce 14.83%,1989964.0,11.069999758789606,22028901.0,,,,,
VISHAY PRECISION GROUP INC,0.010435522818378088,Buy 100%,146326.0,149.91000232357885,21935731.0,,,,,
HANCOCK WHITNEY CORPORATION,0.010400885744037577,Add 422.44%,292598.0,74.72000150376968,21862923.0,,,,,
DOLBY LABORATORIES INC,0.010380924041486649,Add 5.88%,415005.0,52.58000024096095,21820963.0,,,,,
ATMOS ENERGY CORP,0.01034861567386651,Buy 100%,126273.0,172.27000229661132,21753050.0,,,,,
CENTRUS ENERGY CORP,0.010330589723643507,Reduce 66.51%,129357.0,167.86999543897895,21715159.0,,,,,
HERCULES CAPITAL INC,0.01030409384605595,Reduce 11.33%,1373460.0,15.769999854382363,21659464.0,,,,,
Q2 HLDGS INC,0.010291423207692238,Reduce 8.94%,449747.0,48.09999844356938,21632830.0,,,,,
ONE GAS INC,0.010290298577929836,Add 10.21%,280660.0,77.069999287394,21630466.0,,,,,
RITHM CAPITAL CORP,0.010289418474266366,Reduce 15.62%,2303367.0,9.389999943560882,21628616.0,,,,,
GENPACT LIMITED,0.010288016968648752,Reduce 9.43%,786388.0,27.5,21625670.0,,,,,
UNIVERSAL HLTH SVCS INC,0.01027448382869484,Add 38.75%,145250.0,148.69000344234078,21597223.0,,,,,
LIGAND PHARMACEUTICALS INC,0.010152502888132983,Reduce 22.60%,67515.0,316.0899948159668,21340816.0,,,,,
MINERALS TECHNOLOGIES INC,0.010138238072809114,Reduce 21.57%,288101.0,73.97000010413015,21310831.0,,,,,
AMPRIUS TECHNOLOGIES INC,0.010133187229244214,Add 33.07%,1536812.0,13.859999791776744,21300214.0,,,,,
RIGEL PHARMACEUTICALS INC,0.010096989754894954,Add 21.73%,542539.0,39.12000058981935,21224126.0,,,,,
AVISTA CORP,0.010059652427368573,Reduce 14.53%,516882.0,40.90999880049992,21145642.0,,,,,
PENSKE AUTOMOTIVE GRP INC,0.010044151185330457,Reduce 6.28%,117983.0,178.95000127136962,21113058.0,,,,,
PVH CORPORATION,0.010042502774955362,Add 0.26%,284266.0,74.2599994371469,21109593.0,,,,,
STELLANTIS N.V,0.010041065113727791,Reduce 33.67%,3677103.0,5.739999940170292,21106571.0,,,,,
GLOBALFOUNDRIES INC,0.010007520319393401,Add 195.17%,255261.0,82.40999996082441,21036059.0,,,,,
RANGE RES CORP,0.010005105029501813,Reduce 51.92%,565501.0,37.18999966401474,21030982.0,,,,,
AGNC INVT CORP,0.009996336818355099,Add 9.32%,1927757.0,10.899999844378726,21012551.0,,,,,
